Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0,0.0185579636708725,0.00126331265042197,0,0,0,0.0848950850718847,8.67106215725614E-05,9.99707842502009E-22,3.39962227816561E-22,3.60400223001119E-05,-4.44461840183128E-06,8.99713236443961E-05,0,0,0,0,0,0,package://arm/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm/meshes/base_link.STL,,Part2-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,0.0279456537306525,0.0113320854937746,-0.0076534339479159,0,0,0,0.026639379797372,5.13549354436926E-06,-8.27937464299174E-06,-1.97536186034964E-06,2.2195642590867E-05,-8.01017922084622E-07,2.58485501647214E-05,0,0,0,0,0,0,package://arm/meshes/Link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm/meshes/Link1.STL,,Part1-1,Coordinate System2,Axis_joint1,joint1,continuous,0,0.0600000000000002,0.0346458322614542,0,0,0,base_link,0,0,1,,,,,,,,,,,,
